ลำดับ,หมายเลขสายทาง,สถานีตรวจสอบน้ำหนัก,ตำบล,อำเภอ,จังหวัด,กิโลเมตรเริ่มต้น,กิโลเมตรสิ้นสุด,ละติจูด,ลองจิจูด,จำนวนช่องจอดรถบรรทุก,จำนวนช่องจอดรถยนต์
1,1,กำแพงเพชร (ขาออก) จ.กำแพงเพชร,ไตรตรึงษ์,เมืองกำแพงเพชร,กำแพงเพชร,442.7,443.8,16.36883,99.54929,101,20
2,4,ท่าแซะ (ขาออก) จ.ชุมพร,ท่าข้าม,ท่าแซะ,ชุมพร,474.357,474.557,10.59494,99.13080,48,42
3,1,บรรพตพิสัย (ขาเข้า) จ.นครสวรรค์,บ้านแดน,บรรพตพิสัย,นครสวรรค์,378.65,378.9,15.91815,99.88131,32,0
4,304,วังน้ำเขียว (ขาเข้า) จ.นครราชสีมา,อุดมทรัพย์,วังน้ำเขียว,นครราชสีมา,248.145,248.145,14.53014,101.96641,18,8
5,2,โนนสูง (ขาออก) จ.นครราชสีมา,ใหม่,โนนสูง,นครราชสีมา,169.75,169.75,15.09236,102.24677,86,69
6,2,โนนสูง (ขาเข้า) จ.นครราชสีมา,โตนด,โนนสูง,นครราชสีมา,169.962,169.962,15.09275,102.24850,23,22
7,24,อุบลราชธานี (ขาออก) จ.อุบลราชธานี,เมืองศรีไค,วารินชำราบ,อุบลราชธานี,398.758,398.758,15.03982,104.93922,48,38
8,2,แก่งคอย (ขาเข้า) จ.สระบุรี,ทับกวาง,แก่งคอย,สระบุรี,15.55,15.55,14.59528,101.03919,10,0
9,214,สุรินทร์ (ขาเข้า) จ.สุรินทร์,ท่าตูม,ท่าตูม,สุรินทร์,146.4,147.408,15.27425,103.66223,60,19
10,2,น้ำพอง (ขาออก) จ.ขอนแก่น,น้ำพอง,น้ำพอง,ขอนแก่น,374.7,374.7,16.76457,102.81354,60,15
11,24,ประโคนชัย (ขาออก) จ.บุรีรัมย์,โคกมะขาม,ประโคนชัย,บุรีรัมย์,160.9,160.9,14.60913,103.13607,48,26
12,2,สีคิ้ว (ขาเข้า) จ.นครราชสีมา,ลาดบัวขาว,สีคิ้ว,นครราชสีมา,93.375,93.375,14.84222,101.62003,9,14
13,12,เพชรบูรณ์ (ขาออก) จ. เพชรบูรณ์,หนองไขว่,หล่มสัก, เพชรบูรณ์,355.85,357.251,16.74624,101.21490,17,56
14,2,อุดรธานี (ขาเข้า) จ.อุดรธานี,หนองไผ่,เมืองอุดรธานี,อุดรธานี,433.943,433.943,17.24481,102.89790,80,30
15,23,ร้อยเอ็ด (ขาออก) จ.ร้อยเอ็ด,อุ่มเม้า,ธวัชบุรี,ร้อยเอ็ด,124.2,124.2,16.03187,103.77321,38,101
16,201,เลย (ขาออก) จ.เลย,หนองหิน,หนองหิน,เลย,297.285,297.485,17.08952,101.86539,47,87
17,1,กำแพงเพชร (ขาเข้า) จ.กำแพงเพชร,ไตรตรึงษ์,เมืองกำแพงเพชร,กำแพงเพชร,443.5,443.8,16.37118,99.55070,102,25
18,304,ปราจีนบุรี (ขาออก) จ.ปราจีนบุรี,ทุ่งโพธิ์,นาดี,ปราจีนบุรี,186.53,186.53,14.13068,101.86924,32,47
19,23,มหาสารคาม (ขาเข้า) จ.มหาสารคาม,นาโพธิ์,กุดรัง,มหาสารคาม,17.835,17.835,16.04474,102.87193,26,21
20,12,มุกดาหาร (ขาเข้า) จ.มุกดาหาร,กุดแข้,เมืองมุกดาหาร,มุกดาหาร,754.114,754.114,16.58751,104.56255,27,80
21,23,ยโสธร (ขาเข้า) จ.ยโสธร,เดิด,เมืองยโสธร,ยโสธร,154.642,154.642,15.96435,104.02416,48,56
22,101,น่าน (ขาออก) จ.น่าน,กองควาย,เมืองน่าน,น่าน,356,356,18.688199,100.74747,9,15
23,1,ลำปาง (ขาออก) จ.ลำปาง,บ้านโป่ง,งาว,ลำปาง,784.099,784.299,18.71954,99.96417,31,14
24,24,ศรีสะเกษ (ขาออก) จ.ศรีสะเกษ,สำโรงพลัน,ไพรบึง,ศรีสะเกษ,281.26,296.264,14.67405,104.30369,57,159
25,217,อุบลราชธานี 217 จ.อุบลราชธานี,ดอนจิก,พิบูลมังสาหาร,อุบลราชธานี,51,51. 960,15.16826,105.26678,85,116
26,21,วิเชียรบุรี (ขาเข้า) จ.เพชรบูรณ์,สระประดู่,วิเชียรบุรี,เพชรบูรณ์,124.4,124.4,15.63806,101.04550,43,78
27,1,พะเยา (ขาเข้า) จ.พะเยา,บ้านต๊ำ,เมืองพะเยา,พะเยา,848.8,848.8,19.236112,99.864448,17,0
28,202,อำนาจเจริญ (ขาเข้า) จ.อำนาจเจริญ,โนนโพธิ์,เมืองอำนาจเจริญ,อำนาจเจริญ,310.5,310.5,15.86434,104.55476,28,17
29,103,แพร่ (ขาเข้า) จ.แพร่,แม่ยางฮ่อ,ร้องกวาง,แพร่,1.4,1.4,18.31742,100.28503,17,21
30,4,คุระบุรี (ขาออก) จ.พังงา,คุระ,คุระบุรี,พังงา,711.4,711.4,9.19896,98.40018,24,23
31,11,อุตรดิตถ์ (ขาออก) จ.อุตรดิตถ์,ป่าคาย,ทองแสนขัน,อุตรดิตถ์,274.2,274.2,17.26118,100.23936,15,12
32,4,ตรัง (ขาเข้า) จ.ตรัง,บางกุ้ง,ห้วยยอด,ตรัง,1058.5,1058.5,7.74485,99.46358,10,18
33,201,ชัยภูมิ (ขาเข้า) จ.ชัยภูมิ,ละหาน,จัตุรัส,ชัยภูมิ,98.1,98.1,15.63692,101.93936,20,0
34,12,กาฬสินธุ์ (ขาออก) จ.กาฬสินธุ์,ยางตลาด,ยางตลาด,กาฬสินธุ์,661.654,661.654,16.38998,103.34127,14,0
,,,,,,,,,,,
